city,hue10,hue30,hue50,hue70,hue90,sat10,sat30,sat50,sat70,sat90,val10,val30,val50,val70,val90,year
Warsaw,0.019867549668874173,0.08167770419426049,0.16777041942604856,0.5761589403973509,0.7947019867549668,0.027888446215139348,0.1429056538288418,0.28548488941706346,0.4694219479496851,0.7483674865455343,0.120961026385863,0.3402348099733721,0.5392277898813846,0.7292850830793252,0.9308594548930684,2014
Accra,0.0,0.07407407407407407,0.13756613756613756,0.44867724867724845,0.6751322751322746,0.0,0.09838915141537598,0.21506148040912595,0.3891341827390027,0.6763394040436488,0.09131822803195352,0.287812606524091,0.4866981360445413,0.6861413701282983,0.908732463381354,2012
Accra,0.0,0.07407407407407407,0.17738791423001948,0.5653021442495126,0.797270955165692,0.004256257521450513,0.11973886438729597,0.26824830994577537,0.4592503223052632,0.7507659183704503,0.11992374727668847,0.3535079656862745,0.5591142996550472,0.7538393135031791,0.9489368559923973,2014
Budapest,0.027624309392265192,0.08839779005524863,0.15469613259668508,0.49447513812154703,0.6795580110497238,0.039240148409482846,0.1542898051170199,0.2996332227093531,0.49703145267461846,0.789084755862744,0.11363350278382961,0.3089663519728879,0.4926148237072607,0.6741249092229485,0.9036155860951753,2012
Budapest,0.02608695652173913,0.08043478260869565,0.14782608695652175,0.5695652173913044,0.7760869565217391,0.0377383128425175,0.15762139307645712,0.2985522625233685,0.4783236267353073,0.7483817633243993,0.11882110869038975,0.3293875574921327,0.5218836565096953,0.7102033405954975,0.9183127572016462,2014
Tel Aviv,0.02654867256637168,0.08849557522123894,0.16519174041297935,0.5427728613569321,0.6991150442477876,0.0343693912067773,0.13937592125163928,0.2647148772579472,0.4372492655191387,0.716608617766931,0.11415966386554624,0.3265068990559187,0.5165516824013556,0.7033442265795208,0.9186361952188284,2012
Tel Aviv,0.010121457489878544,0.07489878542510121,0.1437246963562753,0.5708502024291497,0.7813765182186235,0.02127417261475087,0.13505066934713236,0.26807669936533896,0.43265433619280846,0.6997093082851904,0.13000484144274993,0.3605880685607576,0.561186274509804,0.7441863659043864,0.9427166213707706,2014
Panama City,0.03017241379310345,0.10344827586206896,0.2650862068965517,0.5646551724137931,0.6896551724137931,0.03100560022246442,0.12216799125033642,0.24036397914061344,0.3892335497727535,0.687474912568889,0.1069353667392883,0.29615710481723556,0.4748573114580532,0.6501391914790606,0.910352820140402,2012
Panama City,0.0,0.08333333333333333,0.19186046511627908,0.5523255813953488,0.7441860465116279,0.008480752976950555,0.11850790829506944,0.256123974440384,0.4333571131488509,0.7208452670954757,0.12993461590710872,0.3604018397482449,0.5553333333333333,0.7415559670781893,0.944002267573696,2014
Baghdad,0.0,0.05982905982905984,0.13675213675213674,0.4786324786324786,0.6641025641025645,0.0,0.07850950784729004,0.18727365579785532,0.35184472707570813,0.6628524113024904,0.08609416606148634,0.2566239229255716,0.43622004357298483,0.6255337690631808,0.8661388259007307,2012
Baghdad,0.001841620626151013,0.08287292817679558,0.16390423572744015,0.4732965009208103,0.7053406998158379,0.019262417823437593,0.14426630976536514,0.2954557996324806,0.48219177757752085,0.7706429121879509,0.09803921568627452,0.34351518385131835,0.5562663204459023,0.7477169414478594,0.9298077571974581,2014
Lisbon,0.0375,0.096875,0.1875,0.55,0.69375,0.04585484421053053,0.15148075465983613,0.28223293697446167,0.46474657519568485,0.7515492585458841,0.11727668845315906,0.3112018379054813,0.4934640522875817,0.6803274914151564,0.892737317149082,2012
Lisbon,0.0184873949579832,0.08235294117647059,0.1865546218487395,0.5798319327731093,0.8089075630252149,0.02698547313252173,0.14623888292564882,0.2853859870973578,0.4577049921872671,0.7317441448551154,0.12614245698279314,0.3466304314935851,0.5441966910220878,0.7329349355482931,0.9364233841684821,2014
Mumbai,0.0040650406504065045,0.08130081300813008,0.14634146341463414,0.5,0.6951219512195121,0.02000914161727456,0.1247461061683364,0.2557640996827347,0.4300370208346216,0.7372368650891495,0.1008956669087388,0.2859598160251755,0.4787581699346404,0.6751391914790608,0.9174655047204068,2012
Mumbai,0.0,0.0762987012987013,0.14935064935064934,0.5405844155844156,0.7759740259740259,0.011391962078191348,0.1281405017105833,0.2811350223407185,0.47020010727600925,0.7526579657293084,0.129581158107226,0.3696078431372549,0.5724268946332859,0.7610637382115475,0.9457879448075528,2014
Helsinki,0.036827195467422094,0.09348441926345608,0.18413597733711048,0.5580736543909348,0.6997167138810199,0.043832665001018484,0.15347225310414422,0.28552957944601665,0.4582439540249515,0.7332603521824448,0.12948196562575648,0.3286758654078915,0.5084604212055192,0.6910421666210164,0.9042144759138224,2012
Helsinki,0.01957585644371941,0.0799347471451876,0.16476345840130505,0.5840130505709625,0.7928221859706363,0.029295914118046197,0.1440261436093759,0.2834552109095248,0.4638191607431804,0.7446334122404792,0.1166811909949165,0.3306172839506172,0.5329865279445112,0.7239699830549503,0.923977340936375,2014
Prague,0.03464203233256352,0.08775981524249422,0.14087759815242495,0.49699769053117115,0.6859122401847575,0.046914905615422955,0.16397884013343023,0.3048356991388058,0.4952465834818776,0.7765439614347023,0.11980066100514283,0.3094942668425394,0.4880900508351489,0.6820745582183491,0.905383684337933,2012
Prague,0.023679417122040074,0.07832422586520947,0.14207650273224046,0.5701275045537341,0.7759562841530054,0.0339746140521857,0.15171197910768716,0.2937704717419308,0.4707297015020879,0.7400992624822763,0.12234341325064349,0.3291854272573227,0.5221501679375453,0.717400262510062,0.9252234057790745,2014
Amman,0.02604166666666667,0.09375,0.16145833333333334,0.53125,0.6979166666666666,0.02708358563287161,0.12427325169337523,0.2506423547941403,0.42466921081121456,0.7123404326038099,0.11185431039699831,0.3095461147421932,0.5011074800290487,0.6773178407165336,0.90661704187848,2012
Amman,0.0,0.07827476038338659,0.16134185303514376,0.5079872204472844,0.718849840255591,0.0,0.1090801789443526,0.2536026648915052,0.44116828082969317,0.7423893753962796,0.11050242319149886,0.3607694796488376,0.5789034132171387,0.7748611923178915,0.9556678899837787,2014
Belgrade,0.0121580547112462,0.08206686930091185,0.17933130699088146,0.5683890577507599,0.7689969604863222,0.02745098039215688,0.13333606173372256,0.2501969272801509,0.41551709500288736,0.6911641268510067,0.08891551682401355,0.2720626472640404,0.4481036705339575,0.6367633442265794,0.8821525647295954,2012
Belgrade,0.0,0.0819935691318328,0.17041800643086816,0.5594855305466238,0.7765273311897106,0.012558727263082863,0.12001691943681288,0.25707623802012664,0.4318907683503092,0.7163062729370019,0.12086301648687155,0.34173323650447834,0.5361413701282982,0.7227910917453402,0.9320610021786494,2014
Lagos,0.012195121951219513,0.0934959349593496,0.2073170731707317,0.5560975609756096,0.800813008130084,0.02776851056993595,0.13269069033717454,0.2691928257847823,0.45509603339078153,0.7267441608836049,0.15533042846768336,0.32233343318103863,0.4924231420963448,0.6593149358508835,0.8882323892519972,2012
Lagos,0.0,0.06981519507186858,0.1540041067761807,0.5359342915811088,0.7761806981519507,0.0008860177493593475,0.12844272086084882,0.2775501045867462,0.4616894960861348,0.7451637203629682,0.10869038973614135,0.33866446078431367,0.5343126139344626,0.7286127507519732,0.9372549019607845,2014
