,city,val,sat,hue
53,Budapest,"0    0.087655
1    0.098840
2    0.103844
3    0.104374
4    0.115088
5    0.115500
6    0.100901
7    0.090128
8    0.080768
9    0.102902
Name: valbin, dtype: float64","0    0.209278
1    0.157238
2    0.133867
3    0.107494
4    0.094190
5    0.077648
6    0.068876
7    0.057750
8    0.049450
9    0.044210
Name: satbin, dtype: float64","1red        0.215753
2orange     0.299582
3yellow     0.096368
4green      0.112321
5cyan       0.060458
6blue       0.172367
7purple     0.014364
8magenta    0.028787
Name: color, dtype: float64"
54,Stockholm,"0    0.089145
1    0.098411
2    0.101468
3    0.103456
4    0.105868
5    0.106055
6    0.103379
7    0.093629
8    0.084677
9    0.113911
Name: valbin, dtype: float64","0    0.218208
1    0.163792
2    0.132919
3    0.113223
4    0.094665
5    0.078324
6    0.067283
7    0.054756
8    0.042024
9    0.034805
Name: satbin, dtype: float64","1red        0.233988
2orange     0.296829
3yellow     0.079148
4green      0.096746
5cyan       0.054051
6blue       0.183199
7purple     0.018728
8magenta    0.037311
Name: color, dtype: float64"
55,Doha,"0    0.066858
1    0.075004
2    0.085398
3    0.085960
4    0.094781
5    0.098882
6    0.096747
7    0.100062
8    0.127648
9    0.168661
Name: valbin, dtype: float64","0    0.286645
1    0.168156
2    0.129783
3    0.110512
4    0.088713
5    0.067532
6    0.054104
7    0.043036
8    0.029047
9    0.022473
Name: satbin, dtype: float64","1red        0.236418
2orange     0.262880
3yellow     0.093601
4green      0.110512
5cyan       0.075791
6blue       0.158548
7purple     0.016630
8magenta    0.045621
Name: color, dtype: float64"
56,Caracas,"0    0.101261
1    0.106485
2    0.108574
3    0.109992
4    0.109096
5    0.101112
6    0.096858
7    0.089546
8    0.078502
9    0.098575
Name: valbin, dtype: float64","0    0.225506
1    0.169316
2    0.134915
3    0.122901
4    0.096336
5    0.076263
6    0.058802
7    0.047907
8    0.038281
9    0.029774
Name: satbin, dtype: float64","1red        0.244459
2orange     0.264010
3yellow     0.082457
4green      0.134169
5cyan       0.067756
6blue       0.164167
7purple     0.016044
8magenta    0.026938
Name: color, dtype: float64"
57,Manama,"0    0.087568
1    0.082853
2    0.087393
3    0.093155
4    0.098132
5    0.104767
6    0.105553
7    0.103283
8    0.101449
9    0.135848
Name: valbin, dtype: float64","0    0.279902
1    0.162389
2    0.124673
3    0.112712
4    0.086957
5    0.067051
6    0.056050
7    0.044613
8    0.034835
9    0.030819
Name: satbin, dtype: float64","1red        0.274664
2orange     0.266457
3yellow     0.084948
4green      0.099703
5cyan       0.060066
6blue       0.160119
7purple     0.016152
8magenta    0.037891
Name: color, dtype: float64"
58,Los Angeles,"0    0.105906
1    0.111653
2    0.111740
3    0.106513
4    0.105076
5    0.101372
6    0.096244
7    0.084886
8    0.074407
9    0.102202
Name: valbin, dtype: float64","0    0.190333
1    0.164668
2    0.145841
3    0.121067
4    0.103330
5    0.080179
6    0.066851
7    0.051751
8    0.040442
9    0.035537
Name: satbin, dtype: float64","1red        0.217733
2orange     0.261445
3yellow     0.081257
4green      0.102475
5cyan       0.060521
6blue       0.209929
7purple     0.024241
8magenta    0.042400
Name: color, dtype: float64"
59,Mexico City,"0    0.099192
1    0.105373
2    0.106277
3    0.107091
4    0.109339
5    0.104269
6    0.097681
7    0.086565
8    0.077071
9    0.107143
Name: valbin, dtype: float64","0    0.241980
1    0.174616
2    0.138293
3    0.112161
4    0.090731
5    0.073312
6    0.057786
7    0.046141
8    0.034644
9    0.030336
Name: satbin, dtype: float64","1red        0.236154
2orange     0.260116
3yellow     0.082328
4green      0.127991
5cyan       0.066544
6blue       0.174242
7purple     0.017761
8magenta    0.034864
Name: color, dtype: float64"
60,San Salvador,"0    0.087702
1    0.097651
2    0.105297
3    0.112943
4    0.109627
5    0.108337
6    0.101704
7    0.087978
8    0.080608
9    0.108153
Name: valbin, dtype: float64","0    0.239152
1    0.166467
2    0.130631
3    0.115154
4    0.096545
5    0.077107
6    0.060249
7    0.045140
8    0.032980
9    0.036573
Name: satbin, dtype: float64","1red        0.238876
2orange     0.245877
3yellow     0.084661
4green      0.122893
5cyan       0.064394
6blue       0.193275
7purple     0.014003
8magenta    0.036020
Name: color, dtype: float64"
61,Barcelona,"0    0.085775
1    0.101829
2    0.106715
3    0.109865
4    0.112174
5    0.116111
6    0.102581
7    0.089731
8    0.077489
9    0.097731
Name: valbin, dtype: float64","0    0.196350
1    0.180302
2    0.145832
3    0.119422
4    0.096716
5    0.078050
6    0.062575
7    0.048299
8    0.039087
9    0.033366
Name: satbin, dtype: float64","1red        0.207858
2orange     0.291044
3yellow     0.081241
4green      0.107288
5cyan       0.064233
6blue       0.197728
7purple     0.016829
8magenta    0.033778
Name: color, dtype: float64"
62,San Juan,"0    0.088460
1    0.093352
2    0.100379
3    0.104030
4    0.111402
5    0.118567
6    0.099966
7    0.095212
8    0.078953
9    0.109680
Name: valbin, dtype: float64","0    0.204065
1    0.151843
2    0.139029
3    0.112367
4    0.099690
5    0.083913
6    0.070892
7    0.059318
8    0.044023
9    0.034860
Name: satbin, dtype: float64","1red        0.212539
2orange     0.264623
3yellow     0.072821
4green      0.099552
5cyan       0.071374
6blue       0.232931
7purple     0.014743
8magenta    0.031416
Name: color, dtype: float64"
63,Amman,"0    0.090973
1    0.086424
2    0.112666
3    0.093422
4    0.116165
5    0.107418
6    0.117915
7    0.087474
8    0.080476
9    0.107068
Name: valbin, dtype: float64","0    0.254374
1    0.179496
2    0.134010
3    0.110217
4    0.085374
5    0.072778
6    0.058083
7    0.041638
8    0.032540
9    0.031491
Name: satbin, dtype: float64","1red        0.189643
2orange     0.303359
3yellow     0.099020
4green      0.096571
5cyan       0.078027
6blue       0.178796
7purple     0.014346
8magenta    0.040238
Name: color, dtype: float64"
64,Belgrade,"0    0.111149
1    0.106357
2    0.112689
3    0.115684
4    0.105673
5    0.109352
6    0.099683
7    0.084367
8    0.066912
9    0.088132
Name: valbin, dtype: float64","0    0.241123
1    0.179687
2    0.149311
3    0.116112
4    0.092496
5    0.072902
6    0.051425
7    0.042783
8    0.030376
9    0.023787
Name: satbin, dtype: float64","1red        0.250963
2orange     0.246342
3yellow     0.069650
4green      0.109523
5cyan       0.055960
6blue       0.203217
7purple     0.022161
8magenta    0.042184
Name: color, dtype: float64"
65,Accra,"0    0.107066
1    0.112206
2    0.095503
3    0.099358
4    0.101071
5    0.098501
6    0.098929
7    0.102784
8    0.073662
9    0.110921
Name: valbin, dtype: float64","0    0.304069
1    0.170878
2    0.129336
3    0.108351
4    0.082655
5    0.065096
6    0.045824
7    0.036403
8    0.025696
9    0.031692
Name: satbin, dtype: float64","1red        0.265953
2orange     0.274518
3yellow     0.074090
4green      0.117773
5cyan       0.071949
6blue       0.147752
7purple     0.011135
8magenta    0.036831
Name: color, dtype: float64"
66,Athens,"0    0.101497
1    0.099281
2    0.108416
3    0.108999
4    0.111176
5    0.106317
6    0.099164
7    0.091001
8    0.077357
9    0.096793
Name: valbin, dtype: float64","0    0.200389
1    0.171467
2    0.146122
3    0.121050
4    0.099164
5    0.075763
6    0.063168
7    0.048397
8    0.037784
9    0.036696
Name: satbin, dtype: float64","1red        0.200311
2orange     0.311487
3yellow     0.082099
4green      0.103090
5cyan       0.061769
6blue       0.192809
7purple     0.017104
8magenta    0.031331
Name: color, dtype: float64"
67,Rome,"0    0.082308
1    0.098351
2    0.108735
3    0.108956
4    0.111540
5    0.106622
6    0.102136
7    0.093134
8    0.082058
9    0.106161
Name: valbin, dtype: float64","0    0.205943
1    0.170447
2    0.142963
3    0.118073
4    0.095939
5    0.078091
6    0.061596
7    0.050568
8    0.041336
9    0.035044
Name: satbin, dtype: float64","1red        0.204550
2orange     0.325005
3yellow     0.077639
4green      0.100512
5cyan       0.056073
6blue       0.188075
7purple     0.016062
8magenta    0.032085
Name: color, dtype: float64"
68,Lima,"0    0.092897
1    0.102779
2    0.107271
3    0.112003
4    0.119130
5    0.109128
6    0.103917
7    0.085230
8    0.073850
9    0.093795
Name: valbin, dtype: float64","0    0.243891
1    0.178246
2    0.140153
3    0.113800
4    0.092956
5    0.070196
6    0.052587
7    0.044322
8    0.031984
9    0.031864
Name: satbin, dtype: float64","1red        0.221790
2orange     0.267609
3yellow     0.088225
4green      0.128174
5cyan       0.072772
6blue       0.174473
7purple     0.015273
8magenta    0.031684
Name: color, dtype: float64"
69,Phnom Penh,"0    0.084054
1    0.098026
2    0.098470
3    0.101575
4    0.107341
5    0.111998
6    0.112220
7    0.093147
8    0.085385
9    0.107784
Name: valbin, dtype: float64","0    0.231759
1    0.158350
2    0.133067
3    0.110889
4    0.103571
5    0.075848
6    0.070304
7    0.048348
8    0.037481
9    0.030384
Name: satbin, dtype: float64","1red        0.213795
2orange     0.290308
3yellow     0.093591
4green      0.142604
5cyan       0.072522
6blue       0.148148
7purple     0.015968
8magenta    0.023065
Name: color, dtype: float64"
70,Rio de Janeiro,"0    0.089776
1    0.102032
2    0.105696
3    0.112373
4    0.108546
5    0.110500
6    0.098489
7    0.087863
8    0.081918
9    0.102805
Name: valbin, dtype: float64","0    0.220431
1    0.175726
2    0.139449
3    0.118318
4    0.095721
5    0.074305
6    0.059566
7    0.047229
8    0.036277
9    0.032979
Name: satbin, dtype: float64","1red        0.214894
2orange     0.254428
3yellow     0.081878
4green      0.129555
5cyan       0.075689
6blue       0.197590
7purple     0.013884
8magenta    0.032083
Name: color, dtype: float64"
71,Warsaw,"0    0.087343
1    0.107468
2    0.113086
3    0.107774
4    0.111043
5    0.106140
6    0.101645
7    0.086321
8    0.077332
9    0.101849
Name: valbin, dtype: float64","0    0.203902
1    0.157422
2    0.141690
3    0.110328
4    0.101338
5    0.079477
6    0.067933
7    0.054857
8    0.042803
9    0.040249
Name: satbin, dtype: float64","1red        0.214424
2orange     0.279906
3yellow     0.092859
4green      0.122995
5cyan       0.062417
6blue       0.184084
7purple     0.013689
8magenta    0.029625
Name: color, dtype: float64"
72,Guatemala City,"0    0.095301
1    0.101216
2    0.098833
3    0.106145
4    0.102120
5    0.111157
6    0.097765
7    0.091686
8    0.081499
9    0.114279
Name: valbin, dtype: float64","0    0.250575
1    0.155192
2    0.129067
3    0.114114
4    0.093658
5    0.076898
6    0.068025
7    0.047240
8    0.035081
9    0.030151
Name: satbin, dtype: float64","1red        0.245235
2orange     0.257805
3yellow     0.086674
4green      0.116333
5cyan       0.063917
6blue       0.181564
7purple     0.016842
8magenta    0.031630
Name: color, dtype: float64"
73,Bucharest,"0    0.096499
1    0.096354
2    0.100839
3    0.103588
4    0.110388
5    0.108218
6    0.099537
7    0.091146
8    0.085503
9    0.107928
Name: valbin, dtype: float64","0    0.240596
1    0.169994
2    0.133391
3    0.107784
4    0.098090
5    0.076678
6    0.055990
7    0.043403
8    0.040220
9    0.033854
Name: satbin, dtype: float64","1red        0.229890
2orange     0.256366
3yellow     0.082610
4green      0.119213
5cyan       0.085938
6blue       0.186343
7purple     0.013455
8magenta    0.026186
Name: color, dtype: float64"
74,Seoul,"0    0.083598
1    0.097863
2    0.101282
3    0.106546
4    0.110712
5    0.111392
6    0.109942
7    0.096742
8    0.083541
9    0.098383
Name: valbin, dtype: float64","0    0.215809
1    0.175426
2    0.144428
3    0.115343
4    0.096085
5    0.077178
6    0.063400
7    0.049611
8    0.035934
9    0.026787
Name: satbin, dtype: float64","1red        0.196835
2orange     0.318959
3yellow     0.086451
4green      0.116950
5cyan       0.061057
6blue       0.171214
7purple     0.016767
8magenta    0.031768
Name: color, dtype: float64"
75,Dublin,"0    0.094325
1    0.098964
2    0.103154
3    0.110583
4    0.111846
5    0.109620
6    0.101803
7    0.088697
8    0.077478
9    0.103529
Name: valbin, dtype: float64","0    0.225031
1    0.162798
2    0.133570
3    0.110658
4    0.096000
5    0.079154
6    0.066085
7    0.052803
8    0.040246
9    0.033655
Name: satbin, dtype: float64","1red        0.238563
2orange     0.276032
3yellow     0.079129
4green      0.104342
5cyan       0.057943
6blue       0.187661
7purple     0.018872
8magenta    0.037457
Name: color, dtype: float64"
76,Abidjan,"0    0.090774
1    0.098214
2    0.099702
3    0.108631
4    0.125000
5    0.122024
6    0.125000
7    0.098214
8    0.055060
9    0.077381
Name: valbin, dtype: float64","0    0.221726
1    0.157738
2    0.136905
3    0.108631
4    0.117560
5    0.075893
6    0.078869
7    0.055060
8    0.028274
9    0.019345
Name: satbin, dtype: float64","1red        0.196429
2orange     0.288690
3yellow     0.083333
4green      0.127976
5cyan       0.078869
6blue       0.160714
7purple     0.008929
8magenta    0.055060
Name: color, dtype: float64"
77,Kuwait City,"0    0.083429
1    0.073065
2    0.082663
3    0.084939
4    0.092261
5    0.099673
6    0.105937
7    0.107108
8    0.107964
9    0.162960
Name: valbin, dtype: float64","0    0.293455
1    0.154647
2    0.117675
3    0.101295
4    0.085772
5    0.066689
6    0.056528
7    0.051887
8    0.037468
9    0.034584
Name: satbin, dtype: float64","1red        0.267388
2orange     0.254545
3yellow     0.092328
4green      0.118306
5cyan       0.058015
6blue       0.158454
7purple     0.014825
8magenta    0.036138
Name: color, dtype: float64"
78,Kuala Lumpur,"0    0.080570
1    0.098267
2    0.101854
3    0.103010
4    0.111536
5    0.113907
6    0.106812
7    0.098071
8    0.081511
9    0.104461
Name: valbin, dtype: float64","0    0.205276
1    0.170077
2    0.135760
3    0.113927
4    0.092741
5    0.081236
6    0.065283
7    0.056228
8    0.041529
9    0.037943
Name: satbin, dtype: float64","1red        0.223659
2orange     0.308423
3yellow     0.084098
4green      0.115553
5cyan       0.067694
6blue       0.153908
7purple     0.015071
8magenta    0.031593
Name: color, dtype: float64"
79,Karachi,"0    0.057243
1    0.080607
2    0.096963
3    0.096963
4    0.120327
5    0.100467
6    0.101636
7    0.085280
8    0.109813
9    0.150701
Name: valbin, dtype: float64","0    0.232477
1    0.182243
2    0.129673
3    0.114486
4    0.093458
5    0.095794
6    0.063084
7    0.039720
8    0.029206
9    0.019860
Name: satbin, dtype: float64","1red        0.271028
2orange     0.292056
3yellow     0.057243
4green      0.077103
5cyan       0.084112
6blue       0.164720
7purple     0.021028
8magenta    0.032710
Name: color, dtype: float64"
80,Cape Town,"0    0.087576
1    0.099271
2    0.103605
3    0.111929
4    0.110140
5    0.103811
6    0.101266
7    0.091703
8    0.082278
9    0.108420
Name: valbin, dtype: float64","0    0.203082
1    0.168272
2    0.138690
3    0.119359
4    0.095074
5    0.085925
6    0.064667
7    0.055311
8    0.035154
9    0.034466
Name: satbin, dtype: float64","1red        0.209893
2orange     0.268781
3yellow     0.081384
4green      0.103467
5cyan       0.065149
6blue       0.224340
7purple     0.015616
8magenta    0.031370
Name: color, dtype: float64"
