Center,Country,lat,lon,tweet20111,tweet20112,tweet20113,tweet20114,tweet20115,tweet20116,tweet20117,tweet20118,tweet20119,tweet201110,tweet201111,tweet201112,tweet20121,tweet20122,tweet20123,tweet20124,tweet20125,tweet20126,tweet20127,tweet20128,tweet20129,tweet201210,tweet201211,tweet201212,tweet20131,tweet20132,tweet20133,tweet20134,tweet20135,tweet20136,tweet20137,tweet20138,tweet20139,tweet201310,tweet201311,tweet201312,tweet20141,tweet20142,tweet20143,tweet20144,tweet20145,tweet20146,tweet20147,tweet20148,tweet20149,tweet201410,tweet201411,tweet201412,actor20111,actor20112,actor20113,actor20114,actor20115,actor20116,actor20117,actor20118,actor20119,actor201110,actor201111,actor201112,actor20121,actor20122,actor20123,actor20124,actor20125,actor20126,actor20127,actor20128,actor20129,actor201210,actor201211,actor201212,actor20131,actor20132,actor20133,actor20134,actor20135,actor20136,actor20137,actor20138,actor20139,actor201310,actor201311,actor201312,actor20141,actor20142,actor20143,actor20144,actor20145,actor20146,actor20147,actor20148,actor20149,actor201410,actor201411,actor201412
Pittsburgh,United States,40.440624799999995,-79.9958864,0,0,0,0,0,0,0,0,21,396,604,957,929,981,1108,1260,1345,1344,1527,2021,2353,2848,2514,2644,2808,1971,2341,3651,3511,3653,4575,4535,6250,6492,6267,7959,10494,9921,11174,11976,10002,9406,4672,0,0,0,0,0,0,0,0,0,0,0,0,0,8,224,298,419,415,422,541,609,648,674,727,899,965,1078,1055,1124,1092,892,963,1337,1320,1416,1695,1700,1973,2015,2127,2623,2456,2354,2918,3211,3165,3045,1767,0,0,0,0,0
Phnom Penh,Cambodia,11.544872900000001,104.89216680000001,0,0,0,0,0,0,0,0,1,32,59,75,174,143,109,121,123,142,246,258,276,263,354,276,365,260,280,223,329,471,519,497,358,414,477,950,1041,825,1573,1677,1732,1562,748,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,32,31,53,50,59,55,52,68,86,109,117,120,137,141,135,110,121,114,123,154,174,173,157,166,196,297,291,253,273,298,329,332,172,0,0,0,0,0
Quito,Ecuador,-0.1806532,-78.4678382,0,0,0,0,0,0,0,0,2,107,242,250,246,209,289,373,468,583,675,1101,1210,1293,1650,1845,2218,2361,2508,2852,2355,2540,2270,2454,3057,3216,3528,5313,5382,4299,4458,5418,5872,6835,3168,0,0,0,0,0,0,0,0,0,0,0,0,0,2,62,94,114,118,124,137,177,211,254,270,383,492,572,643,606,740,763,797,875,798,867,804,841,1000,1022,1149,1495,1579,1188,1287,1494,1537,1686,940,0,0,0,0,0
Warsaw,Poland,52.2296756,21.012228699999998,0,0,0,0,0,0,0,0,1,72,117,79,130,164,162,213,246,757,374,318,506,527,668,640,577,451,681,589,739,790,647,623,758,1024,1800,1583,1481,1335,2573,2399,2419,2554,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,52,47,62,78,88,113,120,245,139,149,227,224,220,228,195,203,266,240,288,318,272,244,315,398,525,487,470,449,680,699,769,809,373,0,0,0,0,0
Vijayawada,India,16.5061743,80.6480153,0,0,0,0,0,0,0,0,0,0,0,9,2,6,5,6,3,6,20,15,8,6,15,10,14,14,77,300,22,64,32,30,26,48,80,242,134,63,78,59,60,175,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,4,4,3,5,6,10,7,5,10,8,11,4,9,8,11,13,12,15,14,20,19,35,37,24,26,27,32,34,23,0,0,0,0,0
Ludhiana,India,30.900965000000003,75.8572758,0,0,0,0,0,0,0,0,0,7,12,8,11,22,14,20,18,12,34,55,26,93,112,123,101,82,44,229,121,69,81,52,90,117,135,245,226,244,188,433,467,320,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,9,9,10,11,12,9,20,27,18,26,25,38,31,27,16,45,32,37,34,26,39,46,46,70,84,57,65,85,86,70,49,0,0,0,0,0
Budapest,Hungary,47.497912,19.040235,0,0,0,0,0,0,0,0,18,206,276,384,328,398,476,591,544,558,760,787,834,992,882,880,813,646,872,866,881,1008,1290,1389,1113,1133,1266,1620,1533,1405,2188,2499,2384,2287,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,10,88,109,164,138,159,212,253,239,272,333,386,337,367,375,361,343,311,373,384,361,417,507,548,472,435,493,595,539,553,782,938,929,914,534,0,0,0,0,0
Datong,China,40.076763,113.300129,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,5,3,6,7,12,3,1,2,1,0,1,3,2,0,5,3,5,7,3,10,1,0,5,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,2,1,2,1,2,1,2,1,0,1,2,2,0,2,2,2,3,3,4,1,0,4,7,6,3,0,0,0,0,0
Yiwu,China,29.306757,120.07513999999999,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,6,5,2,11,23,3,6,4,3,24,10,15,5,14,9,5,11,9,37,30,17,68,75,96,108,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,5,2,2,5,3,2,4,3,3,5,4,6,3,7,4,4,5,5,14,15,7,14,16,21,19,11,0,0,0,0,0
Montevideo,Uruguay,-34.901112700000006,-56.1645314,0,0,0,0,0,0,0,0,1,67,142,231,186,241,209,256,356,355,372,655,680,830,1126,1066,862,1100,1416,1417,1390,1679,1826,2150,2882,3953,5581,9664,9067,8240,10899,12485,17400,23350,10766,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,59,89,73,98,87,135,130,151,173,199,272,311,348,360,319,356,409,453,455,553,569,665,805,963,1235,1953,1739,1525,1819,2171,2587,3510,2284,0,0,0,0,0
Tabriz,Iran,38.096239000000004,46.273801299999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,11,41,67,26,24,18,2,18,14,5,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,1,4,3,3,12,8,2,9,10,5,8,6,0,0,0,0,0
Johor Bahru,Malaysia,1.492659,103.7413591,0,0,0,0,0,0,0,0,0,48,82,177,225,231,187,264,359,473,442,677,695,857,1080,1791,1751,1794,1850,2163,2146,2354,1841,2342,1924,2037,2322,4177,3516,3419,4164,4460,5748,5967,2374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,50,98,96,94,122,147,146,200,207,333,346,379,485,682,596,654,601,536,651,668,571,804,656,717,826,1328,1170,1102,1298,1330,1561,1745,869,0,0,0,0,0
Cincinnati,United States,39.103118200000004,-84.5120196,0,0,0,0,0,0,0,0,16,210,267,387,487,437,509,666,776,860,971,1173,1610,1646,1600,1735,1824,1532,1944,2599,3037,2420,2295,2977,3469,3417,4236,5246,7014,6740,7076,7100,5989,6626,3479,0,0,0,0,0,0,0,0,0,0,0,0,0,11,125,148,200,241,250,317,379,418,481,548,601,713,688,707,741,654,573,655,924,860,994,972,1152,1294,1114,1294,1794,1769,1712,2138,2253,2198,2232,1531,0,0,0,0,0
Mosul,Iraq,36.3566484,43.1640004,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,1,1,3,2,2,14,19,185,287,167,150,98,149,68,115,177,256,121,217,258,534,634,508,444,410,164,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,2,2,2,4,9,4,5,5,9,14,15,25,26,26,50,41,58,83,95,97,107,82,80,40,3,0,0,0,0,0
Santos,Brazil,-23.9678823,-46.328886499999996,0,0,0,0,0,0,0,0,2,111,172,370,384,324,344,373,380,334,438,590,581,564,539,789,1168,1073,1680,1649,1951,2015,3206,3440,2974,2869,3659,5797,7324,5974,6954,7409,8527,11155,6371,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,64,131,156,124,124,137,118,116,168,184,184,196,201,295,340,287,312,356,369,423,525,546,594,655,778,1222,1393,1159,1198,1242,1328,1624,1229,0,0,0,0,0
Mecca,Saudi Arabia,21.3890824,39.8579118,0,0,0,0,0,0,0,0,1,27,279,191,318,309,279,290,530,433,1194,2005,1527,3686,2582,3506,3755,3715,3827,3389,4463,4680,4953,4668,5242,8404,7583,14905,13491,7830,8928,10346,10419,11015,5051,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,93,90,143,106,123,138,163,218,490,682,427,975,609,929,1008,856,939,857,1073,1109,1427,1338,1218,2031,1474,2541,2523,1541,1559,1708,1702,1812,1367,0,0,0,0,0
Zibo,China,36.813487,118.054927,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,1,2,0,4,2,1,3,0,3,3,0,1,4,6,15,14,4,2,2,0,12,13,127,6,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,2,0,2,2,1,3,0,2,1,0,1,2,4,4,6,4,2,2,0,4,8,4,3,3,2,4,0,0,0,0,0
Homs,Syria,34.7324273,36.7136959,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,2,1,4,6,1,4,7,4,11,22,9,68,59,89,89,158,28,39,98,101,118,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,3,4,1,1,3,3,5,8,2,5,12,16,19,26,10,14,13,18,12,11,0,0,0,0,0
Jilin,China,43.837883000000005,126.549572,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,2,3,0,3,1,6,1,4,0,9,1,2,2,4,1,4,0,4,8,10,11,7,9,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,2,1,2,0,1,1,2,1,3,1,4,0,2,5,2,6,6,5,4,3,0,0,0,0,0
Davao City,Philippines,7.190708,125.45534099999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,6,4,2,3,10,3,5,9,47,112,27,14,14,2,23,89,69,33,65,160,256,105,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,5,3,2,1,7,1,2,3,10,7,2,5,5,2,6,10,14,11,15,13,27,17,9,0,0,0,0,0
Semarang,Indonesia,-7.0051453,110.43812539999999,0,0,0,0,0,0,0,0,5,10,21,51,50,73,85,153,183,251,366,614,664,820,867,1687,2129,2348,2700,2849,3909,5578,5568,7372,7100,8064,7868,11808,12073,9129,11436,11783,12500,12156,5834,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,35,23,43,55,69,90,124,172,272,277,347,406,618,757,822,963,1003,1269,1522,1626,2143,2155,2502,2554,3581,3407,2659,3235,3207,3367,3354,1859,0,0,0,0,0
Amsterdam,Netherlands,52.3702157,4.895167900000001,0,0,0,0,0,0,0,0,28,922,1571,1793,1769,2028,2208,2441,2370,2674,2710,2826,3229,4883,5168,4574,4157,3309,3864,4755,4893,5551,4980,5785,5862,7255,9223,9908,10426,10651,12788,13699,15123,16168,7237,0,0,0,0,0,0,0,0,0,0,0,0,0,17,470,728,798,842,999,1116,1169,1151,1244,1286,1306,1521,1874,1947,1880,1759,1532,1563,1895,2020,2215,1995,2181,2234,2616,2912,3143,3190,3402,4032,4311,4539,4855,2443,0,0,0,0,0
Indianapolis,United States,39.768403,-86.158068,0,0,0,0,0,0,0,0,4,241,383,613,827,1484,738,651,716,721,786,1178,1013,1613,1519,1552,1441,1408,1555,1633,2331,2475,2281,2685,2510,2389,3877,4200,4873,4720,6739,5285,5836,5750,2955,0,0,0,0,0,0,0,0,0,0,0,0,0,2,113,200,308,380,634,387,384,405,379,442,597,516,701,754,799,662,604,762,692,749,849,821,1084,927,1020,1623,1892,1748,1613,2609,1882,2172,2063,1186,0,0,0,0,0
Austin,United States,30.267153000000004,-97.7430608,0,0,0,0,0,0,0,0,34,653,905,820,1131,1318,7301,1766,1738,1534,1691,1803,2654,3489,3307,3002,3855,3535,13518,5348,5001,4475,5089,5185,6709,8080,8714,8864,12690,13831,39465,16273,13584,14049,6451,0,0,0,0,0,0,0,0,0,0,0,0,0,20,346,430,430,575,634,2777,836,844,773,806,847,1113,1491,1423,1272,1389,1342,4498,1712,1627,1754,1847,1819,2190,2640,2912,3052,3439,3785,11221,4497,4330,4332,2468,0,0,0,0,0
Yinchuan,China,38.487194,106.23090900000001,0,0,0,0,0,0,0,0,0,3,0,0,2,5,0,2,1,2,4,0,3,5,2,2,15,10,5,0,10,2,9,4,4,5,4,2,0,4,1,5,9,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,1,1,2,3,0,3,2,1,1,4,5,2,0,4,2,2,4,2,3,3,2,0,4,1,3,5,3,3,0,0,0,0,0
Gwangju,South Korea,35.1595454,126.85260120000001,0,0,0,0,0,0,0,0,0,37,65,128,148,160,174,180,172,129,231,297,504,524,558,887,910,897,592,471,792,624,560,526,663,794,728,1912,1753,776,1202,571,944,891,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,74,96,83,73,79,74,68,103,137,148,154,161,230,206,184,155,149,176,146,124,121,155,174,215,366,321,146,155,154,191,185,99,0,0,0,0,0
Weifang,China,36.706962,119.161749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,2,0,4,0,3,2,7,1,4,23,28,39,4,5,2,2,23,26,8,14,7,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,3,0,3,1,5,1,3,4,5,4,4,3,2,1,5,6,4,7,5,4,4,0,0,0,0,0
Kansas City,United States,39.0997265,-94.5785667,0,0,0,0,0,0,0,0,12,98,166,229,232,246,372,302,386,483,673,527,464,708,740,892,802,743,1049,1108,1098,1179,1257,1314,1027,1203,1444,2213,1910,1921,3210,2545,3189,3601,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59,95,132,140,137,224,181,240,272,340,291,292,358,368,457,375,376,500,473,549,556,597,584,498,599,688,1000,797,827,1263,1064,1236,1394,690,0,0,0,0,0
Taizhou,China,28.65638,121.42076000000002,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2,1,0,1,2,1,6,3,0,4,0,0,1,4,2,2,4,0,1,4,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2,1,0,1,2,1,1,2,0,4,0,0,1,2,2,2,3,0,1,2,4,4,0,0,0,0,0
Cordoba,Argentina,-31.420083299999998,-64.18877610000001,0,0,0,0,0,0,0,0,0,32,34,77,77,106,98,123,94,171,233,304,439,572,545,734,716,1005,915,1321,1248,1487,1402,1382,2333,3415,4395,6480,6992,7238,7211,11327,16802,26313,14336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,42,39,52,38,63,57,86,116,150,210,270,260,315,318,422,393,425,527,513,503,561,882,1125,1411,2008,1769,1908,1750,2336,3261,4744,3444,0,0,0,0,0
Lyon,France,45.764043,4.835659,0,0,0,0,0,0,0,0,3,168,255,298,291,286,544,691,518,697,505,503,758,1044,1103,1324,1344,1096,1377,1709,1965,2004,2046,2100,2633,2873,3244,4675,4207,4094,4577,5031,4417,3962,1672,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86,104,136,132,146,221,248,239,293,237,222,337,441,452,524,516,458,509,575,620,660,661,620,730,848,995,1328,1171,1187,1315,1266,1209,1205,599,0,0,0,0,0
Madurai,India,9.9252007,78.11977540000001,0,0,0,0,0,0,0,0,0,2,0,5,13,15,9,10,10,15,47,30,12,16,38,47,39,59,71,27,39,34,24,29,58,33,87,153,201,74,199,735,249,228,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,9,11,4,9,7,13,12,16,7,7,19,17,21,21,14,13,19,15,16,15,21,14,38,64,67,38,29,51,72,54,23,0,0,0,0,0
General Santos,Philippines,6.1163861,125.171618,0,0,0,0,0,0,0,0,0,1,10,11,35,30,58,43,100,99,105,87,105,119,164,179,115,197,238,457,690,311,389,364,523,445,500,1391,988,731,899,1544,2303,1942,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,11,16,17,21,22,28,30,38,30,41,41,54,58,59,68,73,105,93,69,87,94,114,118,220,204,142,198,255,308,311,176,0,0,0,0,0
Liuzhou,China,24.326038,109.42841000000001,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,3,1,4,4,0,4,1,4,1,2,1,3,16,4,1,5,5,4,7,15,5,23,20,4,20,6,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,3,3,0,3,1,3,1,1,1,3,2,4,1,2,4,4,4,3,5,7,6,2,10,4,9,11,0,0,0,0,0
Rajkot,India,22.303894500000002,70.8021599,0,0,0,0,0,0,0,0,0,1,0,2,5,7,11,10,14,23,16,12,21,55,42,34,50,50,46,62,116,109,53,31,57,49,213,221,454,258,78,176,267,654,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,5,7,10,16,10,8,13,25,15,18,26,29,25,19,27,22,28,21,35,23,39,53,61,38,35,59,68,73,47,0,0,0,0,0
Daejeon,South Korea,36.3504119,127.38454750000001,0,0,0,0,0,0,0,0,1,138,147,304,291,250,263,337,231,261,400,602,519,927,933,1271,829,1001,1136,819,1217,1131,1051,884,1258,1334,1367,3848,3193,1296,1095,941,1247,1462,715,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,72,130,153,130,136,151,130,133,151,205,187,217,241,341,216,193,196,207,221,215,192,182,231,278,312,576,452,199,213,232,255,303,166,0,0,0,0,0
Doha,Qatar,25.2854473,51.5310398,0,0,0,0,0,0,0,0,15,105,194,280,323,300,423,642,640,735,760,1313,1539,1591,1525,1603,1834,1513,1617,1847,1887,2562,2682,2792,2925,3019,3864,8103,8065,5557,7983,7733,6992,6314,2997,0,0,0,0,0,0,0,0,0,0,0,0,0,3,54,85,115,129,148,174,244,199,266,302,466,449,582,579,632,625,576,547,611,571,764,639,655,771,919,927,1480,1477,1126,1373,1460,1473,1336,738,0,0,0,0,0
Yangzhou,China,32.394213,119.412947,0,0,0,0,0,0,0,0,0,2,2,1,2,0,1,1,2,1,1,0,1,19,6,3,4,11,12,36,5,4,5,5,8,12,4,12,7,14,18,21,27,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,1,1,2,1,1,0,1,8,3,3,3,7,7,7,2,3,4,3,4,8,3,4,4,8,10,13,13,10,2,0,0,0,0,0
Valencia,Spain,39.4699075,-0.37628809999999996,0,0,0,0,0,0,0,0,18,484,863,1179,1364,1746,2703,1736,2160,2657,2818,3338,5354,7408,8419,9110,8248,8204,10995,9571,11009,12430,10538,7711,12769,16434,17334,24588,23904,20845,24073,21565,25397,26458,10872,0,0,0,0,0,0,0,0,0,0,0,0,0,7,229,346,472,537,694,1093,854,924,1147,1263,1367,1997,2307,2539,2688,2505,2533,3307,2697,2969,3107,2845,2312,3102,3473,4115,5722,4846,4504,5391,4641,4695,4974,2907,0,0,0,0,0
Zhuhai,China,22.270978,113.576678,0,0,0,0,0,0,0,0,0,0,0,2,3,2,6,2,1,2,13,15,14,22,16,3,16,10,4,3,9,4,10,18,10,15,32,23,6,15,42,41,24,87,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,2,1,2,6,8,6,10,7,3,8,8,4,2,8,4,9,10,9,10,9,13,5,12,22,20,15,12,7,0,0,0,0,0
Meerut,India,28.984461800000002,77.7064137,0,0,0,0,0,0,0,0,0,0,0,4,7,0,5,1,7,6,1,3,18,18,8,17,5,9,4,11,16,69,9,4,21,21,80,368,110,45,82,236,105,91,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,1,6,4,1,2,4,8,5,4,4,4,3,5,6,9,7,3,13,12,18,41,37,16,23,35,38,40,27,0,0,0,0,0
Varanasi,India,25.317645199999998,82.97391440000001,0,0,0,0,0,0,0,0,0,1,47,8,18,28,20,8,16,15,29,28,29,34,80,48,36,30,81,65,52,25,42,72,50,112,73,187,163,190,342,711,875,314,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,7,13,14,5,10,10,13,19,18,21,25,23,24,17,29,25,16,12,21,21,24,37,35,59,57,66,77,88,137,76,35,0,0,0,0,0
Charlotte,United States,35.2270869,-80.8431267,0,0,0,0,0,0,0,0,0,177,344,494,462,464,597,574,579,674,718,816,2990,1150,1243,1450,1125,1058,1118,1278,2002,1998,2224,2612,2702,2882,3502,4217,5120,4902,5787,5962,5555,5526,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,152,270,246,246,335,304,293,366,377,426,979,547,639,715,565,468,536,543,570,603,618,728,717,824,1123,1673,1586,1398,1708,1750,1764,1736,915,0,0,0,0,0
Turin,Italy,45.070312,7.6868565,0,0,0,0,0,0,0,0,10,252,408,575,667,699,926,869,1352,853,731,458,1236,1679,1754,1847,1768,1469,1308,1689,2478,2067,1845,1897,2303,2545,3502,3571,3185,3330,4040,4510,6978,5645,2580,0,0,0,0,0,0,0,0,0,0,0,0,0,3,96,143,251,308,346,372,406,534,380,323,245,420,603,634,598,538,492,475,557,725,631,458,355,554,646,844,971,872,884,1045,1056,1494,1016,641,0,0,0,0,0
Yantai,China,37.463822,121.44793500000002,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,3,0,2,0,0,1,7,1,1,1,7,4,4,3,2,1,12,19,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,4,1,1,1,2,4,3,1,1,1,4,6,6,2,0,0,0,0,0
Anshan,China,41.108647,122.99432900000001,0,0,0,0,0,0,0,0,0,7,11,0,4,1,5,0,0,1,0,1,0,0,0,0,1,2,0,1,0,0,1,1,2,4,2,0,8,7,2,5,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,3,0,0,1,0,1,0,0,0,0,1,2,0,1,0,0,1,1,1,2,1,0,5,4,2,4,1,1,3,0,0,0,0,0
Almaty,Kazakhstan,43.2220146,76.8512485,0,0,0,0,0,0,0,0,0,37,54,46,98,103,249,239,258,338,279,404,484,488,587,785,722,584,638,593,587,541,583,566,850,857,923,1400,1408,1554,1690,1699,1420,1615,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,19,36,41,61,71,82,90,87,106,132,145,158,169,162,151,162,150,147,135,151,164,165,195,233,304,307,227,255,257,294,259,158,0,0,0,0,0
Panama City,Panama,9.1011785,-79.40286390000001,0,0,0,0,0,0,0,0,0,4,10,28,38,52,58,58,122,139,189,330,549,766,777,884,941,1093,1417,1032,1086,1330,1257,935,796,1491,1621,3958,4146,2022,2393,2485,3481,3155,1726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,19,26,32,35,42,66,82,106,155,226,300,302,354,351,354,361,387,411,379,339,273,338,451,499,950,934,466,441,476,557,665,488,0,0,0,0,0
Benin City,Nigeria,6.334986,5.6037465,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,14,12,22,121,133,122,94,153,178,133,121,152,147,225,212,312,280,340,299,475,283,274,252,294,418,402,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,7,9,10,25,42,35,40,57,66,63,57,69,65,74,67,100,88,103,91,155,105,97,92,98,91,93,44,0,0,0,0,0
Cixi,China,30.169665000000002,121.26657900000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,13,3,1,0,4,2,0,3,2,1,3,0,1,1,2,2,10,5,1,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,5,1,1,0,1,1,0,3,2,1,3,0,1,1,2,2,2,3,1,1,2,4,0,0,0,0,0
Novosibirsk,Russia,55.00835260000001,82.9357327,0,0,0,0,0,0,0,0,0,95,152,342,393,559,773,571,688,556,761,938,1268,1501,1610,1819,1571,1457,1918,1822,2200,2436,2267,2144,3310,3599,3429,5258,4848,4428,5334,5058,6058,6316,2854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,50,104,129,147,181,199,223,213,243,269,318,361,402,441,433,379,433,415,443,450,473,479,575,584,648,858,789,738,866,863,977,1023,586,0,0,0,0,0
Makassar,Indonesia,-5.1476651,119.4327314,0,0,0,0,0,0,0,0,0,25,25,66,55,117,209,304,384,595,609,960,1471,1693,2135,3721,4808,5710,6109,8009,11947,15748,18301,19185,18738,23078,21966,29222,29079,25431,28359,26521,26341,24012,11554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,31,28,47,66,82,144,193,236,363,467,543,655,1116,1403,1445,1592,2000,2584,3178,3506,3816,4134,4980,5050,6416,6110,5251,5638,5447,5429,5350,3153,0,0,0,0,0
Stockholm,Sweden,59.3293235,18.068580800000003,0,0,0,0,0,0,0,0,51,1053,1945,2249,2760,2821,3259,3259,3853,2891,2482,3493,3918,4168,4765,3696,4350,3811,3935,4327,5002,4299,4184,5536,6060,7222,7184,7775,8064,8330,12193,10194,12223,9595,3230,0,0,0,0,0,0,0,0,0,0,0,0,0,21,465,702,783,944,1057,1264,1240,1394,1264,1111,1411,1385,1494,1745,1349,1282,1207,1254,1497,1852,1678,1433,1806,1846,2023,2341,2444,2461,2710,3479,3099,3617,3269,1349,0,0,0,0,0
Columbus,United States,39.9611755,-82.9987942,0,0,0,0,0,0,0,0,7,326,400,488,652,679,781,729,927,918,941,1071,1685,1935,2106,1571,2053,1784,2196,2486,2532,2713,2577,2532,4343,4548,5048,4938,8268,8667,9563,9561,6885,6919,3020,0,0,0,0,0,0,0,0,0,0,0,0,0,4,184,211,241,332,348,463,387,481,411,476,530,726,789,905,641,785,759,848,842,772,877,887,1029,1373,1447,1827,1815,2330,2347,2845,2855,2209,2200,1321,0,0,0,0,0
Valencia_Venezuela,Venezuela,10.157931199999998,-67.9972104,0,0,0,0,0,0,0,0,0,16,18,29,28,47,50,37,51,84,288,626,710,1207,698,798,1074,1106,1436,2555,2122,2534,1911,2146,1880,3310,3766,4489,4369,5994,5851,3831,4281,4597,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,14,16,20,16,15,26,45,79,176,205,282,227,272,328,327,388,610,473,420,388,393,486,498,569,1032,943,1061,977,711,642,698,432,0,0,0,0,0
Porto,Portugal,41.1579438,-8.6291053,0,0,0,0,0,0,0,0,3,71,72,64,104,188,199,169,171,270,205,243,292,302,259,405,314,287,340,348,570,621,690,859,851,690,723,1161,1388,1187,1638,1978,2425,3162,1807,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,36,38,50,64,85,78,86,104,102,118,118,136,105,139,142,142,164,150,162,226,265,300,240,214,227,387,347,329,432,525,511,611,480,0,0,0,0,0
Leon,Mexico,21.125007699999998,-101.6859605,0,0,0,0,0,0,0,0,4,61,124,189,246,238,389,286,483,502,579,513,695,814,1174,1073,1805,1638,1931,1980,1727,1828,2100,2093,2139,2130,2480,3582,3439,3289,4367,3805,4266,4446,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,58,96,113,106,163,126,186,173,235,232,282,328,450,405,494,466,526,489,565,550,632,587,650,631,836,1107,1052,967,1089,1089,1187,1250,658,0,0,0,0,0
Putian,China,25.454085,119.007777,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,2,1,0,2,0,0,0,1,0,4,1,1,15,11,0,4,1,5,1,8,6,5,7,2,15,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,1,0,2,0,0,0,1,0,2,1,1,2,5,0,3,1,2,1,6,4,4,2,2,5,2,2,0,0,0,0,0
