Center,Country,lat,lon,tweet20111,tweet20112,tweet20113,tweet20114,tweet20115,tweet20116,tweet20117,tweet20118,tweet20119,tweet201110,tweet201111,tweet201112,tweet20121,tweet20122,tweet20123,tweet20124,tweet20125,tweet20126,tweet20127,tweet20128,tweet20129,tweet201210,tweet201211,tweet201212,tweet20131,tweet20132,tweet20133,tweet20134,tweet20135,tweet20136,tweet20137,tweet20138,tweet20139,tweet201310,tweet201311,tweet201312,tweet20141,tweet20142,tweet20143,tweet20144,tweet20145,tweet20146,tweet20147,tweet20148,tweet20149,tweet201410,tweet201411,tweet201412,actor20111,actor20112,actor20113,actor20114,actor20115,actor20116,actor20117,actor20118,actor20119,actor201110,actor201111,actor201112,actor20121,actor20122,actor20123,actor20124,actor20125,actor20126,actor20127,actor20128,actor20129,actor201210,actor201211,actor201212,actor20131,actor20132,actor20133,actor20134,actor20135,actor20136,actor20137,actor20138,actor20139,actor201310,actor201311,actor201312,actor20141,actor20142,actor20143,actor20144,actor20145,actor20146,actor20147,actor20148,actor20149,actor201410,actor201411,actor201412
Kochi,India,9.9312328,76.26730409999999,0,0,0,0,0,0,0,0,0,5,5,20,31,6,14,27,6,12,30,24,21,61,34,48,35,54,49,28,12,27,39,39,58,27,46,434,290,463,303,217,170,234,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,16,6,8,11,6,9,19,14,11,23,17,24,20,22,26,14,9,15,20,14,21,23,27,58,34,28,44,44,48,39,21,0,0,0,0,0
Cali,Colombia,3.4516467000000004,-76.53198540000001,0,0,0,0,0,0,0,0,0,53,73,201,238,236,237,273,357,490,677,931,1248,2227,1993,2886,3734,3708,4290,4182,4457,4622,5783,5086,5317,5758,7504,15880,15898,8449,8653,9844,11608,10861,5919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,33,82,75,82,91,126,130,179,265,370,417,652,642,860,987,971,1081,1100,1134,1187,1370,1253,1323,1448,1694,3049,2945,1712,1808,1851,2058,2233,1452,0,0,0,0,0
Shaoxing,China,29.995762,120.58610900000001,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,6,0,6,1,6,1,4,5,5,8,11,9,8,8,9,10,11,11,34,6,24,10,10,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,3,0,4,1,2,1,3,4,3,5,6,8,4,7,6,7,6,5,6,2,6,5,5,13,2,0,0,0,0,0
Port Harcourt,Nigeria,4.815554,7.0498442,0,0,0,0,0,0,0,0,0,0,1,5,10,1,0,8,27,14,55,116,149,265,284,167,178,339,132,158,312,342,355,574,637,451,480,1531,896,350,455,618,662,842,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,1,0,4,6,5,27,46,65,88,89,56,69,89,54,78,98,96,135,154,168,148,150,251,217,120,146,123,160,179,99,0,0,0,0,0
Vancouver,Canada,49.282729100000005,-123.1207375,0,0,0,0,0,0,0,0,24,776,1418,1418,1490,1300,1601,2031,1985,2231,2410,2751,2672,2841,2651,2590,2985,2294,2967,3857,3977,3875,4571,4583,3905,4650,4760,5843,6463,6357,8731,8096,9489,11466,4523,0,0,0,0,0,0,0,0,0,0,0,0,0,13,362,533,574,604,557,715,870,860,926,1043,1088,1147,1144,1104,1065,1159,1039,1109,1113,1284,1401,1636,1600,1452,1611,1703,2011,2004,2208,2782,2568,2808,2986,1705,0,0,0,0,0
Huai'an,China,33.61036,119.01528799999998,0,0,0,0,0,0,0,0,0,0,7,3,0,1,4,0,0,1,0,0,1,0,2,0,0,2,0,0,0,1,2,2,4,5,3,26,0,2,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,1,0,0,1,0,2,0,0,2,0,0,0,1,1,2,2,3,3,3,0,2,3,2,2,0,0,0,0,0,0,0
Baltimore,United States,39.2903848,-76.6121893,0,0,0,0,0,0,0,0,9,289,486,717,945,885,904,1123,1103,1456,1505,1561,2040,1726,1573,1753,1784,1644,1907,2913,3425,3721,4133,3917,3345,3184,4414,6782,7538,7099,9739,9854,10736,10018,4849,0,0,0,0,0,0,0,0,0,0,0,0,0,7,159,227,339,418,392,482,596,635,795,768,796,968,832,724,789,840,715,716,961,1016,1196,1225,1354,1288,1131,1450,1897,1810,1871,2529,2859,3085,3192,1898,0,0,0,0,0
Tashkent,Uzbekistan,41.299495799999995,69.2400734,0,0,0,0,0,0,0,0,0,13,32,61,53,69,56,175,371,203,237,320,284,363,270,293,317,265,230,216,381,492,239,297,346,448,428,734,635,971,742,943,852,859,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,18,21,21,25,25,47,41,50,45,48,67,66,67,72,74,66,73,92,88,69,91,76,86,105,123,124,112,119,164,151,150,105,0,0,0,0,0
Kiev,Ukraine,50.4501,30.5234,0,0,0,0,0,0,0,0,12,323,380,566,687,841,1131,1359,1440,1823,1345,1247,1721,2068,1690,1800,1718,1506,1741,1626,1624,1636,1616,1885,2383,2408,2711,4014,4172,5024,4831,5037,5220,4449,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,3,122,147,212,278,288,369,452,498,621,561,463,585,638,628,681,606,538,610,611,587,569,556,581,710,749,839,1183,968,917,1237,1351,1432,1377,695,0,0,0,0,0
Thrissur,India,10.527641599999999,76.2144349,0,0,0,0,0,0,0,0,0,2,1,1,1,3,1,2,3,2,5,8,15,0,4,4,9,3,7,8,7,2,49,112,6,15,27,34,38,39,38,28,31,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,2,3,2,3,6,7,0,4,3,9,2,6,6,7,1,5,6,5,12,14,19,25,13,14,12,23,15,5,0,0,0,0,0
