city,lons,lats
lagos,3.35438911805,6.30008419422
lagos,3.3447367809,6.30288845739
lagos,3.33527957157,6.30629326226
lagos,3.32605481335,6.31028517161
lagos,3.31709891214,6.31484843119
lagos,3.3084472128,6.31996503192
lagos,3.30013385963,6.3256147809
lagos,3.29219166164,6.33177538116
lagos,3.28465196305,6.33842251961
lagos,3.27754451961,6.34552996305
lagos,3.27089738116,6.35306966164
lagos,3.2647367809,6.36101185963
lagos,3.25908703192,6.3693252128
lagos,3.25397043119,6.37797691214
lagos,3.24940717161,6.38693281335
lagos,3.24541526226,6.39615757157
lagos,3.24201045739,6.4056147809
lagos,3.23920619422,6.41526711805
lagos,3.23701353988,6.42507648967
lagos,3.23544114779,6.43500418263
lagos,3.23449522345,6.44501101688
lagos,3.2341795,6.4550575
lagos,3.23449522345,6.46510398312
lagos,3.23544114779,6.47511081737
lagos,3.23701353988,6.48503851033
lagos,3.23920619422,6.49484788195
lagos,3.24201045739,6.5045002191
lagos,3.24541526226,6.51395742843
lagos,3.24940717161,6.52318218665
lagos,3.25397043119,6.53213808786
lagos,3.25908703192,6.5407897872
lagos,3.2647367809,6.54910314037
lagos,3.27089738116,6.55704533836
lagos,3.27754451961,6.56458503695
lagos,3.28465196305,6.57169248039
lagos,3.29219166164,6.57833961884
lagos,3.30013385963,6.5845002191
lagos,3.3084472128,6.59014996808
lagos,3.31709891214,6.59526656881
lagos,3.32605481335,6.59982982839
lagos,3.33527957157,6.60382173774
lagos,3.3447367809,6.60722654261
lagos,3.35438911805,6.61003080578
lagos,3.36419848967,6.61222346012
lagos,3.37412618263,6.61379585221
lagos,3.38413301688,6.61474177655
lagos,3.3941795,6.6150575
delhi,77.2272603,28.8172914
delhi,77.2373067831,28.8169756765
delhi,77.2473136174,28.8160297522
delhi,77.2572413103,28.8144573601
delhi,77.2670506819,28.8122647058
delhi,77.2767030191,28.8094604426
delhi,77.2861602284,28.8060556377
delhi,77.2953849867,28.8020637284
delhi,77.3043408879,28.7975004688
delhi,77.3129925872,28.7923838681
delhi,77.3213059404,28.7867341191
delhi,77.3292481384,28.7805735188
delhi,77.3367878369,28.7739263804
delhi,77.3438952804,28.7668189369
delhi,77.3505424188,28.7592792384
delhi,77.3567030191,28.7513370404
delhi,77.3623527681,28.7430236872
delhi,77.3674693688,28.7343719879
delhi,77.3720326284,28.7254160867
delhi,77.3760245377,28.7161913284
delhi,77.3794293426,28.7067341191
delhi,77.3822336058,28.6970817819
delhi,77.3844262601,28.6872724103
delhi,77.3859986522,28.6773447174
delhi,77.3869445765,28.6673378831
delhi,77.3872603,28.6572914
delhi,77.3869445765,28.6472449169
delhi,77.3859986522,28.6372380826
delhi,77.3844262601,28.6273103897
delhi,77.3822336058,28.6175010181
delhi,77.3794293426,28.6078486809
delhi,77.3760245377,28.5983914716
delhi,77.3720326284,28.5891667134
delhi,77.3674693688,28.5802108121
delhi,77.3623527681,28.5715591128
delhi,77.3567030191,28.5632457596
delhi,77.3505424188,28.5553035616
delhi,77.3438952804,28.5477638631
delhi,77.3367878369,28.5406564196
delhi,77.3292481384,28.5340092812
delhi,77.3213059404,28.5278486809
delhi,77.3129925872,28.5221989319
delhi,77.3043408879,28.5170823312
delhi,77.2953849867,28.5125190716
delhi,77.2861602284,28.5085271623
delhi,77.2767030191,28.5051223574
delhi,77.2670506819,28.5023180942
delhi,77.2572413103,28.5001254399
delhi,77.2473136174,28.4985530478
delhi,77.2373067831,28.4976071235
delhi,77.2272603,28.4972914
delhi,77.2172138169,28.4976071235
delhi,77.2072069826,28.4985530478
delhi,77.1972792897,28.5001254399
delhi,77.1874699181,28.5023180942
delhi,77.1778175809,28.5051223574
delhi,77.1683603716,28.5085271623
delhi,77.1591356134,28.5125190716
delhi,77.1501797121,28.5170823312
delhi,77.1415280128,28.5221989319
delhi,77.1332146596,28.5278486809
delhi,77.1252724616,28.5340092812
delhi,77.1177327631,28.5406564196
delhi,77.1106253196,28.5477638631
delhi,77.1039781812,28.5553035616
delhi,77.0978175809,28.5632457596
delhi,77.0921678319,28.5715591128
delhi,77.0870512312,28.5802108121
delhi,77.0824879716,28.5891667134
delhi,77.0784960623,28.5983914716
delhi,77.0750912574,28.6078486809
delhi,77.0722869942,28.6175010181
delhi,77.0700943399,28.6273103897
delhi,77.0685219478,28.6372380826
delhi,77.0675760235,28.6472449169
delhi,77.0672603,28.6572914
delhi,77.0675760235,28.6673378831
delhi,77.0685219478,28.6773447174
delhi,77.0700943399,28.6872724103
delhi,77.0722869942,28.6970817819
delhi,77.0750912574,28.7067341191
delhi,77.0784960623,28.7161913284
delhi,77.0824879716,28.7254160867
delhi,77.0870512312,28.7343719879
delhi,77.0921678319,28.7430236872
delhi,77.0978175809,28.7513370404
delhi,77.1039781812,28.7592792384
delhi,77.1106253196,28.7668189369
delhi,77.1177327631,28.7739263804
delhi,77.1252724616,28.7805735188
delhi,77.1332146596,28.7867341191
delhi,77.1415280128,28.7923838681
delhi,77.1501797121,28.7975004688
delhi,77.1591356134,28.8020637284
delhi,77.1683603716,28.8060556377
delhi,77.1778175809,28.8094604426
delhi,77.1874699181,28.8122647058
delhi,77.1972792897,28.8144573601
delhi,77.2072069826,28.8160297522
delhi,77.2172138169,28.8169756765
delhi,77.2272603,28.8172914
tianjin,117.1980785,39.2835635
tianjin,117.208124983,39.2832477765
tianjin,117.218131817,39.2823018522
tianjin,117.22805951,39.2807294601
tianjin,117.237868882,39.2785368058
tianjin,117.247521219,39.2757325426
tianjin,117.256978428,39.2723277377
